Date,BC_Zone,av_bol,Station
2013/03/12,Aspen,1,Independence Pass
2013/03/10,Aspen,1,Independence Pass
2013/03/09,Aspen,1,Independence Pass
2013/03/07,Aspen,1,Independence Pass
2013/03/05,Aspen,1,Independence Pass
2013/03/02,Aspen,1,Independence Pass
2013/02/28,Aspen,1,Independence Pass
2013/01/31,Aspen,1,Independence Pass
2013/01/29,Aspen,1,Independence Pass
2013/01/17,Aspen,1,Independence Pass
2013/01/09,Aspen,1,Independence Pass
2013/01/05,Aspen,1,Independence Pass
2012/12/22,Aspen,1,Independence Pass
2012/12/21,Aspen,1,Independence Pass
2012/12/20,Aspen,1,Independence Pass
2012/05/02,Aspen,1,Independence Pass
2012/04/30,Aspen,1,Independence Pass
2012/03/07,Aspen,1,Independence Pass
2012/03/04,Aspen,1,Independence Pass
2012/03/03,Aspen,1,Independence Pass
2012/03/02,Aspen,1,Independence Pass
2012/03/01,Aspen,1,Independence Pass
2012/02/25,Aspen,1,Independence Pass
2012/02/14,Aspen,1,Independence Pass
2012/01/26,Aspen,1,Independence Pass
2012/01/18,Aspen,1,Independence Pass
2012/01/17,Aspen,1,Independence Pass
2012/01/08,Aspen,1,Independence Pass
2011/11/25,Aspen,1,Independence Pass
2021/04/04,Southern San Juan,1,Red Mountain Pass
2021/03/27,Southern San Juan,1,Red Mountain Pass
2021/03/26,Southern San Juan,1,Red Mountain Pass
2021/02/24,Southern San Juan,1,Red Mountain Pass
2021/02/19,Southern San Juan,1,Red Mountain Pass
2021/02/16,Southern San Juan,1,Red Mountain Pass
2021/02/15,Southern San Juan,1,Red Mountain Pass
2021/02/14,Southern San Juan,1,Red Mountain Pass
2021/02/13,Southern San Juan,1,Red Mountain Pass
2021/01/31,Southern San Juan,1,Red Mountain Pass
2021/01/30,Southern San Juan,1,Red Mountain Pass
2021/01/27,Southern San Juan,1,Red Mountain Pass
2021/01/26,Southern San Juan,1,Red Mountain Pass
2020/12/30,Southern San Juan,1,Red Mountain Pass
2020/12/19,Southern San Juan,1,Red Mountain Pass
2020/12/15,Southern San Juan,1,Red Mountain Pass
2020/12/13,Southern San Juan,1,Red Mountain Pass
2020/12/12,Southern San Juan,1,Red Mountain Pass
2020/04/07,Southern San Juan,1,Red Mountain Pass
2020/04/04,Southern San Juan,1,Red Mountain Pass
2020/04/02,Southern San Juan,1,Red Mountain Pass
2020/04/01,Southern San Juan,1,Red Mountain Pass
2020/03/31,Southern San Juan,1,Red Mountain Pass
2020/03/27,Southern San Juan,1,Red Mountain Pass
2020/03/26,Southern San Juan,1,Red Mountain Pass
2020/03/09,Southern San Juan,1,Red Mountain Pass
2020/02/23,Southern San Juan,1,Red Mountain Pass
2020/02/07,Southern San Juan,1,Red Mountain Pass
2020/01/23,Southern San Juan,1,Red Mountain Pass
2020/01/22,Southern San Juan,1,Red Mountain Pass
2020/01/18,Southern San Juan,1,Red Mountain Pass
2020/01/14,Southern San Juan,1,Red Mountain Pass
2020/01/13,Southern San Juan,1,Red Mountain Pass
2020/01/07,Southern San Juan,1,Red Mountain Pass
2019/12/28,Southern San Juan,1,Red Mountain Pass
2019/12/27,Southern San Juan,1,Red Mountain Pass
2019/12/25,Southern San Juan,1,Red Mountain Pass
2019/12/16,Southern San Juan,1,Red Mountain Pass
2019/12/15,Southern San Juan,1,Red Mountain Pass
2019/12/09,Southern San Juan,1,Red Mountain Pass
2019/12/01,Southern San Juan,1,Red Mountain Pass
2019/11/30,Southern San Juan,1,Red Mountain Pass
2019/05/11,Southern San Juan,1,Red Mountain Pass
2019/05/09,Southern San Juan,1,Red Mountain Pass
2019/03/28,Southern San Juan,1,Red Mountain Pass
2019/03/13,Southern San Juan,1,Red Mountain Pass
2019/03/12,Southern San Juan,1,Red Mountain Pass
2019/03/08,Southern San Juan,1,Red Mountain Pass
2019/03/06,Southern San Juan,1,Red Mountain Pass
2019/03/05,Southern San Juan,1,Red Mountain Pass
2019/03/04,Southern San Juan,1,Red Mountain Pass
2019/02/26,Southern San Juan,1,Red Mountain Pass
2019/02/24,Southern San Juan,1,Red Mountain Pass
2019/02/22,Southern San Juan,1,Red Mountain Pass
2019/02/15,Southern San Juan,1,Red Mountain Pass
2019/02/06,Southern San Juan,1,Red Mountain Pass
2019/02/05,Southern San Juan,1,Red Mountain Pass
2019/02/04,Southern San Juan,1,Red Mountain Pass
2019/01/18,Southern San Juan,1,Red Mountain Pass
2019/01/17,Southern San Juan,1,Red Mountain Pass
2019/01/16,Southern San Juan,1,Red Mountain Pass
2019/01/14,Southern San Juan,1,Red Mountain Pass
2019/01/13,Southern San Juan,1,Red Mountain Pass
2019/01/09,Southern San Juan,1,Red Mountain Pass
2019/01/08,Southern San Juan,1,Red Mountain Pass
2019/01/07,Southern San Juan,1,Red Mountain Pass
2019/01/05,Southern San Juan,1,Red Mountain Pass
2019/01/04,Southern San Juan,1,Red Mountain Pass
2019/01/02,Southern San Juan,1,Red Mountain Pass
2019/01/01,Southern San Juan,1,Red Mountain Pass
2018/11/25,Southern San Juan,1,Red Mountain Pass
2018/04/08,Southern San Juan,1,Red Mountain Pass
2018/02/24,Southern San Juan,1,Red Mountain Pass
2018/02/23,Southern San Juan,1,Red Mountain Pass
2018/02/22,Southern San Juan,1,Red Mountain Pass
2018/02/19,Southern San Juan,1,Red Mountain Pass
2018/02/17,Southern San Juan,1,Red Mountain Pass
2018/02/16,Southern San Juan,1,Red Mountain Pass
2018/02/15,Southern San Juan,1,Red Mountain Pass
2018/02/13,Southern San Juan,1,Red Mountain Pass
2018/01/26,Southern San Juan,1,Red Mountain Pass
2018/01/22,Southern San Juan,1,Red Mountain Pass
2018/01/21,Southern San Juan,1,Red Mountain Pass
2018/01/10,Southern San Juan,1,Red Mountain Pass
2017/03/04,Southern San Juan,1,Red Mountain Pass
2017/03/01,Southern San Juan,1,Red Mountain Pass
2017/02/28,Southern San Juan,1,Red Mountain Pass
2017/02/08,Southern San Juan,1,Red Mountain Pass
2017/01/27,Southern San Juan,1,Red Mountain Pass
2017/01/24,Southern San Juan,1,Red Mountain Pass
2017/01/23,Southern San Juan,1,Red Mountain Pass
2017/01/21,Southern San Juan,1,Red Mountain Pass
2017/01/09,Southern San Juan,1,Red Mountain Pass
2017/01/06,Southern San Juan,1,Red Mountain Pass
2017/01/05,Southern San Juan,1,Red Mountain Pass
2017/01/03,Southern San Juan,1,Red Mountain Pass
2016/12/28,Southern San Juan,1,Red Mountain Pass
2016/12/25,Southern San Juan,1,Red Mountain Pass
2016/12/17,Southern San Juan,1,Red Mountain Pass
2016/12/07,Southern San Juan,1,Red Mountain Pass
2016/04/07,Southern San Juan,1,Red Mountain Pass
2016/02/03,Southern San Juan,1,Red Mountain Pass
2016/02/02,Southern San Juan,1,Red Mountain Pass
2016/02/01,Southern San Juan,1,Red Mountain Pass
2015/12/25,Southern San Juan,1,Red Mountain Pass
2015/12/24,Southern San Juan,1,Red Mountain Pass
2015/12/22,Southern San Juan,1,Red Mountain Pass
2015/12/16,Southern San Juan,1,Red Mountain Pass
2015/12/12,Southern San Juan,1,Red Mountain Pass
2015/11/16,Southern San Juan,1,Red Mountain Pass
2015/05/26,Southern San Juan,1,Red Mountain Pass
2015/03/08,Southern San Juan,1,Red Mountain Pass
2015/03/04,Southern San Juan,1,Red Mountain Pass
2015/03/03,Southern San Juan,1,Red Mountain Pass
2015/03/02,Southern San Juan,1,Red Mountain Pass
2015/03/01,Southern San Juan,1,Red Mountain Pass
2015/02/24,Southern San Juan,1,Red Mountain Pass
2015/02/23,Southern San Juan,1,Red Mountain Pass
2015/01/13,Southern San Juan,1,Red Mountain Pass
2014/12/30,Southern San Juan,1,Red Mountain Pass
2014/12/26,Southern San Juan,1,Red Mountain Pass
2014/03/02,Southern San Juan,1,Red Mountain Pass
2014/02/15,Southern San Juan,1,Red Mountain Pass
2014/02/10,Southern San Juan,1,Red Mountain Pass
2014/02/09,Southern San Juan,1,Red Mountain Pass
2014/02/05,Southern San Juan,1,Red Mountain Pass
2014/02/01,Southern San Juan,1,Red Mountain Pass
2014/01/31,Southern San Juan,1,Red Mountain Pass
2013/12/20,Southern San Juan,1,Red Mountain Pass
2013/12/12,Southern San Juan,1,Red Mountain Pass
2013/12/09,Southern San Juan,1,Red Mountain Pass
2013/12/05,Southern San Juan,1,Red Mountain Pass
2013/11/23,Southern San Juan,1,Red Mountain Pass
2013/11/17,Southern San Juan,1,Red Mountain Pass
2013/11/16,Southern San Juan,1,Red Mountain Pass
2013/03/14,Southern San Juan,1,Red Mountain Pass
2013/03/09,Southern San Juan,1,Red Mountain Pass
2013/02/24,Southern San Juan,1,Red Mountain Pass
2013/02/11,Southern San Juan,1,Red Mountain Pass
2013/02/10,Southern San Juan,1,Red Mountain Pass
2013/02/03,Southern San Juan,1,Red Mountain Pass
2013/01/29,Southern San Juan,1,Red Mountain Pass
2013/01/28,Southern San Juan,1,Red Mountain Pass
2013/01/27,Southern San Juan,1,Red Mountain Pass
2013/01/13,Southern San Juan,1,Red Mountain Pass
2013/01/11,Southern San Juan,1,Red Mountain Pass
2012/12/21,Southern San Juan,1,Red Mountain Pass
2012/12/20,Southern San Juan,1,Red Mountain Pass
2012/12/19,Southern San Juan,1,Red Mountain Pass
2012/12/17,Southern San Juan,1,Red Mountain Pass
2012/12/16,Southern San Juan,1,Red Mountain Pass
2012/12/15,Southern San Juan,1,Red Mountain Pass
2012/12/14,Southern San Juan,1,Red Mountain Pass
2012/03/14,Southern San Juan,1,Red Mountain Pass
2012/02/28,Southern San Juan,1,Red Mountain Pass
2012/02/15,Southern San Juan,1,Red Mountain Pass
2012/02/13,Southern San Juan,1,Red Mountain Pass
2012/02/09,Southern San Juan,1,Red Mountain Pass
2012/01/22,Southern San Juan,1,Red Mountain Pass
2011/12/15,Southern San Juan,1,Red Mountain Pass
2011/12/07,Southern San Juan,1,Red Mountain Pass
2011/11/05,Southern San Juan,1,Red Mountain Pass
2021/04/04,Northern San Juan,1,Idarado
2021/03/25,Northern San Juan,1,Idarado
2021/02/18,Northern San Juan,1,Idarado
2021/02/17,Northern San Juan,1,Idarado
2021/02/16,Northern San Juan,1,Idarado
2021/02/15,Northern San Juan,1,Idarado
2021/02/14,Northern San Juan,1,Idarado
2021/02/05,Northern San Juan,1,Idarado
2021/02/03,Northern San Juan,1,Idarado
2021/02/02,Northern San Juan,1,Idarado
2021/01/31,Northern San Juan,1,Idarado
2021/01/30,Northern San Juan,1,Idarado
2021/01/28,Northern San Juan,1,Idarado
2021/01/27,Northern San Juan,1,Idarado
2021/01/26,Northern San Juan,1,Idarado
2021/01/09,Northern San Juan,1,Idarado
2020/12/29,Northern San Juan,1,Idarado
2020/12/20,Northern San Juan,1,Idarado
2020/12/19,Northern San Juan,1,Idarado
2020/12/18,Northern San Juan,1,Idarado
2020/04/10,Northern San Juan,1,Idarado
2020/04/09,Northern San Juan,1,Idarado
2020/04/07,Northern San Juan,1,Idarado
2020/03/31,Northern San Juan,1,Idarado
2020/03/26,Northern San Juan,1,Idarado
2020/03/24,Northern San Juan,1,Idarado
2020/03/23,Northern San Juan,1,Idarado
2020/03/20,Northern San Juan,1,Idarado
2020/03/05,Northern San Juan,1,Idarado
2020/02/16,Northern San Juan,1,Idarado
2020/02/08,Northern San Juan,1,Idarado
2020/02/07,Northern San Juan,1,Idarado
2020/01/28,Northern San Juan,1,Idarado
2020/01/23,Northern San Juan,1,Idarado
2020/01/11,Northern San Juan,1,Idarado
2019/12/27,Northern San Juan,1,Idarado
2019/12/10,Northern San Juan,1,Idarado
2019/11/30,Northern San Juan,1,Idarado
2019/11/29,Northern San Juan,1,Idarado
2019/11/22,Northern San Juan,1,Idarado
2019/05/24,Northern San Juan,1,Idarado
2019/04/25,Northern San Juan,1,Idarado
2019/04/12,Northern San Juan,1,Idarado
2019/04/09,Northern San Juan,1,Idarado
2019/03/28,Northern San Juan,1,Idarado
2019/03/17,Northern San Juan,1,Idarado
2019/03/16,Northern San Juan,1,Idarado
2019/03/15,Northern San Juan,1,Idarado
2019/03/14,Northern San Juan,1,Idarado
2019/03/13,Northern San Juan,1,Idarado
2019/03/12,Northern San Juan,1,Idarado
2019/03/10,Northern San Juan,1,Idarado
2019/03/09,Northern San Juan,1,Idarado
2019/03/08,Northern San Juan,1,Idarado
2019/03/06,Northern San Juan,1,Idarado
2019/03/05,Northern San Juan,1,Idarado
2019/03/04,Northern San Juan,1,Idarado
2019/03/03,Northern San Juan,1,Idarado
2019/02/28,Northern San Juan,1,Idarado
2019/02/25,Northern San Juan,1,Idarado
2019/02/23,Northern San Juan,1,Idarado
