,Date,BC_Zone,Elev,Asp,Type,Trigger,Rsize,Dsize,Avg_Slope_Angle,Start_Zone_Elev,Start_Zone_Elev_units,Sliding_Sfc,Weak_Layer,Weak_Layer_Type,Avg_Width,Max_Width,Width_units,av_bol
1045,2021/02/17,Northern San Juan,<TL,NW,SS,AL,R3,D2,,,,,,,,,,1
1046,2021/02/17,Northern San Juan,<TL,NW,SS,AE,R3,D1.5,,,,,,,,,,1
1048,2021/02/17,Northern San Juan,<TL,NW,SS,AL,R3,D2,,,,,,,,,,1
1057,2021/02/17,Northern San Juan,>TL,N,,,R3,D2.5,,,,,,,,,,1
1059,2021/02/16,Northern San Juan,<TL,E,SS,AL,R3,D2,,,,,,,,,,1
1060,2021/02/16,Northern San Juan,<TL,E,SS,AL,R3,D2,,,,I,,,,,,1
1062,2021/02/16,Gunnison,>TL,SW,U,N,R4,D3.5,,,,O,,,,,,1
1064,2021/02/16,Northern San Juan,>TL,SE,,N,R3,D2.5,,,,,,,,,,1
1075,2021/02/16,Front Range,>TL,E,U,N,R3,D2.5,,,,,,,,,,1
1076,2021/02/16,Front Range,TL,NE,HS,AM,R4,D3,37.0,11390.0,ft,O,Layer,Faceted Crystals,2600.0,,ft,1
1078,2021/02/16,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
1079,2021/02/16,Gunnison,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
1083,2021/02/16,Northern San Juan,>TL,E,,N,R3,D3,,,,,,,,,,1
1085,2021/02/16,Northern San Juan,>TL,E,,N,R3,D3,,,,,,,,,,1
1087,2021/02/16,Southern San Juan,<TL,SE,SS,AS,R3,D2,,11000.0,ft,O,Layer,Crust,,500.0,ft,1
1098,2021/02/15,Northern San Juan,TL,NE,,AE,R3,D2.5,,,,,,,,,,1
1109,2021/02/15,Southern San Juan,<TL,SE,SS,N,R3,D1.5,,,,,,,,,,1
1124,2021/02/14,Gunnison,TL,W,SS,N,R3,D2,,,,O,,,,,,1
1126,2021/02/14,Southern San Juan,TL,NE,SS,N,R3,D2,,,,O,Layer,Faceted Crystals,,800.0,ft,1
1132,2021/02/14,Gunnison,>TL,SE,SS,N,R3,D2,,,,O,,,,,,1
1141,2021/02/14,Northern San Juan,>TL,NE,HS,U,R3,D2.5,,,,,,,,,,1
1143,2021/02/14,Northern San Juan,>TL,NE,,AS,R4,D3,,,,,,,,,,1
1148,2021/02/14,Northern San Juan,>TL,SW,HS,N,R3,D2.5,,,,,,,,700.0,ft,1
1159,2021/02/14,Gunnison,<TL,E,SS,N,R4,D2,,,,O,,,,,,1
1160,2021/02/14,Gunnison,<TL,NE,SS,N,R3,D2,,,,,,,,,,1
1171,2021/02/14,Gunnison,>TL,SE,HS,N,R4,D2.5,,,,,,,,,,1
1176,2021/02/14,Front Range,>TL,E,HS,AR,R4,D3,,,,,,,,,,1
1180,2021/02/13,Gunnison,<TL,E,SS,N,R3,D2.5,,,,O,,,,,,1
1181,2021/02/13,Front Range,TL,E,SS,AS,R3,D1.5,,,,,,,,,,1
1183,2021/02/13,Gunnison,TL,SE,SS,N,R4,D3,,,,O,,,,,,1
1189,2021/02/13,Gunnison,>TL,E,HS,N,R4,D3.5,,,,O,,,,,,1
1190,2021/02/13,Gunnison,TL,E,HS,N,R3,D2,,,,O,,,,,,1
1200,2021/02/13,Gunnison,<TL,E,HS,N,R3,D2.5,,,,,,,,,,1
1208,2021/02/13,Gunnison,>TL,SE,HS,N,R3,D3,,,,O,,,,,,1
1209,2021/02/13,Gunnison,TL,SW,HS,N,R4,D2,,,,,,,,,,1
1210,2021/02/13,Gunnison,>TL,SE,HS,N,R3,D3,,,,O,,,,,,1
1211,2021/02/13,Gunnison,>TL,E,HS,N,R3,D3,,,,O,,,,,,1
1212,2021/02/13,Southern San Juan,>TL,E,SS,N,R3,D2,,12000.0,ft,O,Layer,Faceted Crystals,,,,1
1217,2021/02/13,Front Range,<TL,E,SS,N,R3,D2,,,,,,,,,,1
1223,2021/02/13,Aspen,>TL,E,,N,R3,D3,,,,,,,,,,1
1228,2021/02/13,Aspen,TL,S,SS,N,R3,D2.5,,,,,,,,,,1
1230,2021/02/13,Aspen,TL,N,SS,N,R3,D3,,,,,,,,,,1
1234,2021/02/13,Aspen,TL,N,SS,N,R3,D2,40.0,10000.0,ft,O,Layer,Faceted Crystals,50.0,,ft,1
1238,2021/02/13,Gunnison,TL,SE,HS,N,R3,D2,,,,,,,,,,1
1244,2021/02/13,Gunnison,<TL,NE,SS,N,R3,D2,,,,O,,,,,,1
1253,2021/02/13,Gunnison,TL,E,SS,N,R4,D3,,,,O,,,,,,1
1264,2021/02/13,Gunnison,<TL,NE,SS,N,R3,D2.5,,,,O,,,,,,1
1269,2021/02/12,Gunnison,TL,E,SS,N,R3,D2,,,,,,,,,,1
1271,2021/02/12,Vail & Summit County,<TL,E,SS,N,R3,D1.5,,,,,,,,,,1
1293,2021/02/09,Aspen,>TL,NE,HS,AE,R3,D2,,,,,,,,,,1
1294,2021/02/09,Aspen,>TL,NE,HS,AE,R3,D2,,,,,,,,,,1
1297,2021/02/09,Aspen,TL,NE,SS,AM,R4,D2,,11000.0,ft,,,,,,,1
1298,2021/02/09,Aspen,TL,SE,SS,N,R3,D2,,10800.0,ft,,,,,,,1
1299,2021/02/09,Vail & Summit County,>TL,E,HS,N,R3,D2,,,,,,,,,,1
1309,2021/02/08,Vail & Summit County,>TL,SE,SS,N,R3,D2.5,,,,,,,,,,1
1310,2021/02/08,Front Range,>TL,E,SS,N,R4,D2.5,,,,,,,,,,1
1311,2021/02/08,Vail & Summit County,<TL,NE,SS,,R3,D1,,,,,,,,,,1
1314,2021/02/08,Aspen,TL,N,SS,N,R3,D3,,,,G,,,,1000.0,ft,1
1317,2021/02/07,Front Range,>TL,E,HS,AE,R3,D1.5,,,,G,,,,,,1
1319,2021/02/07,Front Range,>TL,E,HS,AE,R3,D1.5,,,,O,,,,,,1
1320,2021/02/07,Front Range,>TL,E,HS,AE,R3,D1.5,,,,O,,,,,,1
1321,2021/02/07,Front Range,>TL,E,SS,AE,R3,D1,,,,G,,,,,,1
1322,2021/02/07,Front Range,>TL,E,HS,AE,R3,D2,,,,G,,,,,,1
1328,2021/02/07,Aspen,<TL,E,SS,N,R3,D2,,,,,,,,,,1
1329,2021/02/07,Vail & Summit County,>TL,SE,,N,R3,D2,,,,,,,,,,1
1332,2021/02/07,Gunnison,>TL,,SS,N,R3,D2,,,,,,,,,,1
1333,2021/02/07,Front Range,>TL,E,,,R3,D2.5,,,,,,,,,,1
1342,2021/02/07,Gunnison,<TL,E,SS,N,R3,D2,,,,O,,,,,,1
1344,2021/02/07,Aspen,TL,E,SS,N,R4,D2.5,,,,,,,,,,1
1345,2021/02/07,Aspen,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
1363,2021/02/07,Aspen,TL,E,SS,N,R3,D2.5,,10600.0,ft,,,,,,,1
1364,2021/02/07,Aspen,TL,E,SS,N,R3,D2,,,,,,,,,,1
1370,2021/02/07,Gunnison,>TL,N,HS,N,R3,D3,,,,,,,,,,1
1371,2021/02/07,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
1379,2021/02/07,Front Range,TL,E,HS,U,R3,D2,,,,,,,,,,1
1391,2021/02/07,Front Range,>TL,SE,HS,N,R4,D2.5,40.0,11800.0,ft,G,,Depth Hoar,800.0,1000.0,ft,1
1392,2021/02/07,Gunnison,>TL,SE,HS,N,R3,D2.5,,,,,,,,,,1
1396,2021/02/06,Front Range,TL,N,HS,AX,R3,D2,,,,O,,,,,,1
1397,2021/02/06,Front Range,TL,N,SS,AX,R3,D2.5,,,,O,,,,,,1
1403,2021/02/06,Front Range,>TL,SE,HS,N,R3,D2,,,,,,,,,,1
1413,2021/02/06,Aspen,TL,E,SS,N,R4,D2,,11200.0,ft,,,,,,,1
1417,2021/02/06,Aspen,>TL,E,SS,N,R3,D2,,1200.0,ft,,,,,,,1
1418,2021/02/06,Aspen,TL,NW,SS,N,R4,D2,,12000.0,ft,,,,,,,1
1421,2021/02/06,Aspen,TL,,,N,R4,D2.5,,,,,,,,,,1
1422,2021/02/06,Gunnison,>TL,N,SS,N,R3,D2.5,,,,O,,,,,,1
1425,2021/02/06,Aspen,>TL,NW,SS,N,R3,D2.5,,,,,,,,,,1
1426,2021/02/06,Aspen,>TL,NW,SS,N,R4,D3,,,,,,,,,,1
1433,2021/02/06,Gunnison,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
1445,2021/02/06,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
1448,2021/02/06,Gunnison,>TL,SE,SS,N,R4,D3.5,,,,,,,,,,1
1450,2021/02/06,Gunnison,<TL,NE,SS,N,R3,D2,,,,,,,,,,1
1451,2021/02/06,Gunnison,>TL,E,SS,N,R3,D3,,,,,,,,,,1
1452,2021/02/06,Gunnison,TL,NE,SS,N,R3,D3.5,,,,,,,,,,1
1454,2021/02/06,Gunnison,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
1455,2021/02/06,Gunnison,>TL,E,SS,N,R3,D3,,,,,,,,,,1
1459,2021/02/06,Aspen,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
1461,2021/02/06,Aspen,TL,NE,SS,N,R3,D3,,,,G,,,,,,1
1467,2021/02/06,Aspen,TL,W,SS,N,R3,D3,,,,,,,,,,1
1475,2021/02/06,Gunnison,<TL,N,SS,N,R3,D2,,,,O,,,,,,1
1478,2021/02/06,Gunnison,TL,NE,SS,N,R3,D2.5,,,,U,,,,,,1
1489,2021/02/06,Gunnison,TL,NE,SS,N,R3,D3,,,,,,,,,,1
1496,2021/02/06,Gunnison,>TL,NE,HS,N,R3,D2.5,,,,,,,,,,1
1500,2021/02/06,Gunnison,<TL,E,SS,N,R3,D2,,,,,,,,,,1
1501,2021/02/06,Gunnison,>TL,SE,SS,N,R3,D2.5,,,,,,,,,,1
1502,2021/02/06,Gunnison,TL,S,SS,AB,R4,D1.5,,,,,,,,,,1
1504,2021/02/05,Front Range,<TL,N,SS,AX,R3,D1.5,,,,,,,,,,1
1505,2021/02/05,Aspen,TL,E,WL,N,R3,D2,,,,,,,,,,1
1507,2021/02/05,Northern San Juan,>TL,N,SS,N,R3,D2,,,,,,,,,,1
1530,2021/02/04,Aspen,>TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
1542,2021/02/04,Aspen,>TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
1549,2021/02/04,Gunnison,<TL,NE,SS,N,R3,D2,,,,O,,,,,,1
1551,2021/02/04,Gunnison,<TL,E,SS,N,R4,D2.5,,,,O,,,,,,1
1556,2021/02/03,Northern San Juan,>TL,NW,SS,N,R3,D2,,,,,,,,,,1
1574,2021/02/02,Gunnison,TL,SW,SS,N,R3,D2,,,,G,,,,,,1
1581,2021/02/02,Northern San Juan,>TL,SW,WS,N,R3,D2,,,,,,,,,,1
1582,2021/02/02,Northern San Juan,>TL,S,SS,N,R3,D2,,,,,,,,,,1
1583,2021/02/02,Northern San Juan,>TL,NW,SS,N,R3,D2,,,,,,,,,,1
1587,2021/02/02,Northern San Juan,TL,N,,AE,R3,D2.5,,,,,,,,,,1
1588,2021/02/02,Northern San Juan,>TL,N,,AE,R3,D2.5,,,,,,,,,,1
1615,2021/01/31,Northern San Juan,>TL,NE,HS,N,R3,D3,,,,O,Layer,Faceted Crystals,,600.0,ft,1
1620,2021/01/31,Southern San Juan,>TL,SE,SS,N,R3,D2,,,,,,,,,,1
1628,2021/01/31,Gunnison,>TL,S,HS,N,R3,D3,,,,,,,,,,1
1660,2021/01/31,Gunnison,<TL,S,SS,AM,R3,D2,,,,,,,,,,1
1661,2021/01/31,Gunnison,<TL,NE,SS,AS,R4,D1.5,,,,O,,,,,,1
