,Date,BC_Zone,Elev,Asp,Type,Trigger,Rsize,Dsize,Avg_Slope_Angle,Start_Zone_Elev,Start_Zone_Elev_units,Sliding_Sfc,Weak_Layer,Weak_Layer_Type,Avg_Width,Max_Width,Width_units,av_bol
6081,2019/03/08,Northern San Juan,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
6082,2019/03/08,Northern San Juan,>TL,N,SS,N,R4,D2.5,,,,,,,,,,1
6083,2019/03/08,Northern San Juan,TL,NW,SS,N,R3,D2.5,,,,,,,,,,1
6084,2019/03/08,Northern San Juan,TL,N,SS,N,R3,D2.5,,,,,,,,,,1
6085,2019/03/08,Northern San Juan,<TL,N,SS,N,R3,D2,,,,,,,,,,1
6088,2019/03/08,Northern San Juan,TL,N,HS,N,R3,D2.5,,,,,,,,,,1
6089,2019/03/08,Northern San Juan,<TL,W,HS,N,R3,D2,,,,,,,,,,1
6090,2019/03/08,Northern San Juan,TL,N,HS,N,R4,D2.5,,,,,,,,,,1
6091,2019/03/08,Northern San Juan,TL,E,HS,N,R4,D2.5,,,,,,,,,,1
6092,2019/03/08,Southern San Juan,>TL,E,SS,N,R3,D2,,,,,,,,,,1
6103,2019/03/08,Northern San Juan,<TL,NW,HS,N,R5,D3,,,,O,Layer,Faceted Crystals,,150.0,ft,1
6104,2019/03/08,Northern San Juan,<TL,NW,HS,N,R3,D2,,,,,,,,,,1
6105,2019/03/08,Vail & Summit County,All,E,HS,N,R4,D4,,,,,,,,,,1
6106,2019/03/08,Vail & Summit County,TL,NE,HS,N,R3,D2,,,,,,,,,,1
6107,2019/03/08,Front Range,>TL,S,HS,AE,R3,D4,,,,,,,,,,1
6113,2019/03/07,Gunnison,<TL,,WS,N,R5,D3,,,,,,,,,,1
6116,2019/03/07,Vail & Summit County,TL,E,WL,N,R3,D2,,,,,,,,,,1
6117,2019/03/07,Vail & Summit County,TL,E,SS,N,R3,D2,,,,,,,,,,1
6118,2019/03/07,Vail & Summit County,TL,E,SS,N,R3,D2.5,,,,,,,,,,1
6119,2019/03/07,Vail & Summit County,TL,E,SS,N,R4,D2,,,,,,,,,,1
6128,2019/03/07,Gunnison,>TL,E,HS,N,R4,D4,,,,,,,,,,1
6129,2019/03/07,Gunnison,TL,E,HS,N,R4,D4,,,,,,,,,,1
6130,2019/03/07,Gunnison,TL,SE,HS,N,R4,D4,,,,,,,,,,1
6131,2019/03/07,Gunnison,<TL,NW,HS,N,R4,D3,,,,,,,,,,1
6132,2019/03/07,Gunnison,TL,E,HS,N,R4,D3,,,,,,,,,,1
6133,2019/03/07,Gunnison,>TL,NE,HS,N,R4,D4,,,,,,,,,,1
6134,2019/03/07,Gunnison,TL,E,HS,N,R4,D3,,,,,,,,,,1
6135,2019/03/07,Gunnison,TL,N,HS,N,R4,D4,,,,,,,,,,1
6136,2019/03/07,Gunnison,TL,N,HS,N,R5,D4,,,,,,,,,,1
6137,2019/03/07,Gunnison,>TL,E,HS,N,R4,D4,,,,,,,,,,1
6138,2019/03/07,Gunnison,>TL,NE,HS,N,R3,D3.5,,,,,,,,,,1
6140,2019/03/07,Aspen,>TL,SW,HS,N,R4,D3.5,,,,,,,,,,1
6141,2019/03/07,Vail & Summit County,TL,E,SS,N,R4,D3,,,,,,,,,,1
6142,2019/03/07,Vail & Summit County,TL,SW,HS,N,R5,D4,,,,,,,,,,1
6143,2019/03/07,Vail & Summit County,TL,SW,SS,N,R4,D4,,,,,,,,,,1
6144,2019/03/07,Vail & Summit County,TL,W,SS,N,R5,D4,,,,,,,,,,1
6145,2019/03/07,Vail & Summit County,TL,W,SS,N,R5,D4,,,,,,,,,,1
6146,2019/03/07,Vail & Summit County,TL,E,SS,N,R4,D3,,,,,,,,,,1
6147,2019/03/07,Vail & Summit County,TL,SE,SS,N,R3,D2.5,,,,,,,,,,1
6148,2019/03/07,Vail & Summit County,TL,SE,SS,N,R5,D3.5,,,,,,,,,,1
6149,2019/03/07,Vail & Summit County,TL,E,SS,N,R5,D4,,,,G,,,,,,1
6150,2019/03/07,Front Range,TL,E,U,N,R4,D4,,12000.0,ft,G,,,1000.0,,ft,1
6152,2019/03/07,Aspen,>TL,NE,HS,N,R4,D4,,,,,,,,,,1
6154,2019/03/07,Front Range,U,SE,U,U,R5,D4,,,,,,,,,,1
6155,2019/03/07,Front Range,TL,E,,N,R4,D3.5,,,,,,,,,,1
6156,2019/03/07,Vail & Summit County,>TL,S,HS,N,R4,D3,,,,,,,,,,1
6157,2019/03/07,Front Range,>TL,S,HS,N,R4,D3.5,,,,,,,,,,1
6158,2019/03/07,Vail & Summit County,>TL,E,HS,N,R4,D3,,,,,,,,,,1
6159,2019/03/07,Gunnison,>TL,W,,N,R5,D4,,,,,,,,,,1
6160,2019/03/07,Vail & Summit County,TL,NE,,N,R5,D4,,,,,,,,,,1
6161,2019/03/07,Vail & Summit County,TL,NW,,,R5,D3.5,,,,,,,,,,1
6176,2019/03/07,Vail & Summit County,<TL,S,HS,N,R3,D2.5,,,,,,,,,,1
6177,2019/03/07,Vail & Summit County,<TL,W,HS,N,R3,D3,,,,,,,,,,1
6182,2019/03/07,Front Range,<TL,NE,,N,R3,D2,,,,O,,,,,,1
6186,2019/03/07,Vail & Summit County,TL,S,HS,N,R3,D2.5,,,,,,,,,,1
6198,2019/03/07,Aspen,,,,N,R4,D4,,,,,,,,,,1
6201,2019/03/07,Aspen,<TL,W,SS,N,R3,D1.5,,8300.0,ft,O,Unknown,Unknown,30.0,30.0,m,1
6203,2019/03/07,Aspen,TL,NE,,N,R3,D3,,,,,,,,,,1
6205,2019/03/06,Northern San Juan,>TL,NW,HS,N,R3,D3,,,,,,,,,,1
6209,2019/03/06,Gunnison,>TL,E,HS,N,R3,D3.5,,,,,,,,,,1
6210,2019/03/06,Gunnison,TL,NE,HS,N,R4,D3.5,,,,,,,,,,1
6211,2019/03/06,Gunnison,<TL,NW,HS,N,R4,D3,,,,,,,,,,1
6212,2019/03/06,Gunnison,>TL,S,HS,N,R4,D4,,,,,,,,,,1
6213,2019/03/06,Gunnison,>TL,SW,HS,N,R4,D4,,,,,,,,,,1
6214,2019/03/06,Gunnison,>TL,SW,HS,N,R4,D4,,,,,,,,,,1
6215,2019/03/06,Gunnison,>TL,NE,HS,N,R4,D4,,,,,,,,,,1
6216,2019/03/06,Gunnison,>TL,W,HS,N,R4,D4,,,,,,,,,,1
6217,2019/03/06,Gunnison,<TL,E,HS,N,R4,D3.5,,,,,,,,,,1
6218,2019/03/06,Gunnison,<TL,E,HS,N,R4,D3,,,,,,,,,,1
6219,2019/03/06,Gunnison,TL,SW,HS,N,R4,D3,,,,,,,,,,1
6220,2019/03/06,Gunnison,>TL,S,HS,N,R4,D3,,,,,,,,,,1
6221,2019/03/06,Gunnison,>TL,E,HS,N,R5,D4,,,,,,,,,,1
6222,2019/03/06,Gunnison,TL,SE,HS,N,R5,D4,,,,,,,,,,1
6223,2019/03/06,Gunnison,<TL,NW,HS,N,R4,D3.5,,,,,,,,,,1
6224,2019/03/06,Gunnison,<TL,NW,HS,N,R5,D3,,,,,,,,,,1
6225,2019/03/06,Gunnison,<TL,NE,HS,N,R5,D2.5,,,,,,,,,,1
6226,2019/03/06,Gunnison,>TL,E,HS,N,R4,D4,,,,,,,,,,1
6227,2019/03/06,Gunnison,<TL,NE,HS,N,R4,D3,,,,,,,,,,1
6228,2019/03/06,Gunnison,TL,E,HS,N,R5,D4,,,,,,,,,,1
6229,2019/03/06,Gunnison,<TL,All,WS,N,R4,D3,,,,,,,,,,1
6230,2019/03/06,Gunnison,<TL,NE,HS,N,R5,D3,,,,,,,,,,1
6231,2019/03/06,Gunnison,<TL,NE,HS,N,R5,D2.5,,,,,,,,,,1
6232,2019/03/06,Gunnison,TL,E,HS,N,R5,D4,,,,,,,,,,1
6233,2019/03/06,Aspen,TL,NW,SS,N,R3,D3.5,,12000.0,ft,,,,600.0,600.0,ft,1
6234,2019/03/06,Aspen,TL,NW,HS,N,R4,D4,,,,,,,,,,1
6235,2019/03/06,Aspen,TL,NW,HS,N,R4,D4,,12000.0,ft,,,,,,,1
6243,2019/03/06,Southern San Juan,<TL,NE,HS,N,R4,D1.5,,,,G,,,,,,1
6245,2019/03/06,Northern San Juan,>TL,S,HS,N,R4,D3.5,,,,,,,,,,1
6246,2019/03/06,Vail & Summit County,>TL,E,HS,AE,R3,D2.5,23.0,12280.0,ft,I,,,,1000.0,ft,1
6247,2019/03/06,Vail & Summit County,>TL,E,,N,R3,D3,,,,,,,,,,1
6251,2019/03/05,Vail & Summit County,>TL,W,HS,AH,R3,D2,,,,,,,,,,1
6253,2019/03/05,Vail & Summit County,>TL,NW,HS,AH,R4,D2.5,,,,,,,,,,1
6255,2019/03/05,Front Range,>TL,NE,HS,AH,R4,D4,,,,G,,,,,,1
6258,2019/03/05,Front Range,>TL,SE,HS,AH,R3,D4,,,,G,,,,,,1
6261,2019/03/05,Aspen,>TL,NE,HS,N,R4,D3.5,,12200.0,ft,O,Layer,,2000.0,,ft,1
6262,2019/03/05,Southern San Juan,>TL,S,HS,N,R4,D4,,12400.0,ft,O,,Unknown,,,,1
6271,2019/03/05,Northern San Juan,<TL,NE,HS,AA,R4,D4,,,,,,,,,,1
6272,2019/03/05,Northern San Juan,>TL,NE,HS,AA,R3,D2,,,,,,,,,,1
6273,2019/03/05,Northern San Juan,>TL,NE,HS,AA,R4,D3,,,,,,,,,,1
6275,2019/03/05,Aspen,<TL,E,SS,N,R3,D3,,,,,,,,,,1
6276,2019/03/05,Front Range,>TL,S,HS,AL,R4,D3.5,,,,,,,,,,1
6278,2019/03/05,Vail & Summit County,>TL,W,HS,AH,R3,D3,,,,,,,,,,1
6282,2019/03/05,Front Range,>TL,E,HS,N,R3,D2.5,,,,,,,,,,1
6286,2019/03/04,Northern San Juan,<TL,W,HS,AA,R3,D4,35.0,10639.0,ft,G,Unknown,Unknown,850.0,850.0,ft,1
6293,2019/03/04,Northern San Juan,>TL,E,HS,AA,R3,D3,45.0,12100.0,ft,G,Unknown,Unknown,500.0,500.0,ft,1
6295,2019/03/04,Southern San Juan,TL,E,SS,AA,R4,D2.5,,,,,,,,,,1
6296,2019/03/04,Southern San Juan,TL,SE,HS,AA,R3,D2,,,,,,,,,,1
6297,2019/03/04,Southern San Juan,TL,E,HS,AA,R4,D2.5,,,,,,,,,,1
6301,2019/03/04,Front Range,TL,N,HS,AX,R4,D2.5,,,,,,,,,,1
6303,2019/03/04,Front Range,>TL,N,SS,AX,R3,D1,,,,,,,,,,1
6307,2019/03/04,Southern San Juan,TL,SE,SS,N,R4,D2.5,,,,,,,,,,1
6308,2019/03/04,Gunnison,>TL,SE,HS,N,R4,D4,,,,,,,,,,1
6309,2019/03/04,Gunnison,<TL,NE,HS,N,R5,D3,,,,,,,,,,1
6310,2019/03/04,Gunnison,<TL,NE,HS,N,R5,D2.5,,,,,,,,,,1
6311,2019/03/04,Gunnison,<TL,NE,HS,N,R5,D3,,,,,,,,,,1
6312,2019/03/04,Gunnison,TL,SW,HS,N,R4,D4,,,,,,,,,,1
6313,2019/03/04,Gunnison,TL,N,HS,N,R3,D3,,,,,,,,,,1
6314,2019/03/04,Gunnison,>TL,NE,HS,N,R3,D3,,,,,,,,,,1
6315,2019/03/04,Gunnison,>TL,NW,HS,N,R3,D3,,,,,,,,,,1
6316,2019/03/04,Gunnison,>TL,S,HS,N,R3,D3,,,,,,,,,,1
6317,2019/03/04,Gunnison,>TL,S,HS,N,R3,D3,,,,,,,,,,1
6318,2019/03/04,Gunnison,>TL,NE,HS,N,R3,D3,,,,,,,,,,1
6319,2019/03/04,Gunnison,TL,SE,HS,N,R3,D3,,,,,,,,,,1
6320,2019/03/04,Gunnison,>TL,S,HS,N,R3,D3.5,,,,,,,,,,1
6321,2019/03/04,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
6322,2019/03/04,Gunnison,<TL,NE,HS,N,R3,D3,,,,,,,,,,1
6323,2019/03/04,Gunnison,>TL,W,HS,N,R4,D4,,,,,,,,,,1
6324,2019/03/04,Gunnison,TL,W,HS,N,R3,D3,,,,,,,,,,1
6325,2019/03/04,Gunnison,TL,S,HS,N,R3,D3,,,,,,,,,,1
6326,2019/03/04,Gunnison,<TL,W,HS,N,R3,D3,,,,,,,,,,1
6327,2019/03/04,Gunnison,<TL,NE,HS,N,R3,D3,,,,,,,,,,1
6328,2019/03/04,Gunnison,TL,W,HS,N,R3,D3,,,,,,,,,,1
6329,2019/03/04,Gunnison,<TL,NE,SS,N,R4,D3,,,,,,,,,,1
6330,2019/03/04,Gunnison,>TL,W,HS,N,R4,D3,,,,,,,,,,1
6331,2019/03/04,Gunnison,TL,W,HS,N,R4,D3,,,,,,,,,,1
6332,2019/03/04,Gunnison,TL,N,HS,N,R3,D3,,,,,,,,,,1
6333,2019/03/04,Gunnison,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
6334,2019/03/04,Gunnison,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
6335,2019/03/04,Gunnison,TL,NE,HS,N,R3,D3,,,,,,,,,,1
6336,2019/03/04,Gunnison,TL,E,HS,N,R3,D3,,,,,,,,,,1
6337,2019/03/04,Gunnison,>TL,N,HS,N,R3,D3,,,,,,,,,,1
6338,2019/03/04,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
6339,2019/03/04,Gunnison,TL,NE,HS,N,R3,D3,,,,,,,,,,1
6342,2019/03/04,Gunnison,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
6343,2019/03/04,Gunnison,>TL,E,HS,N,R3,D3,,,,,,,,,,1
6344,2019/03/04,Southern San Juan,TL,SE,HS,N,R5,D4,,,,,,,,,,1
6345,2019/03/04,Southern San Juan,TL,NE,HS,N,R5,D4,,11600.0,ft,G,,,,,,1
6346,2019/03/04,Aspen,>TL,E,HS,N,R4,D4,,,,,,,,,,1
6347,2019/03/04,Aspen,>TL,NW,HS,N,R3,D3,,,,,,,,,,1
6348,2019/03/04,Aspen,>TL,NE,SS,N,R4,D4,,,,,,,,,,1
6354,2019/03/04,Vail & Summit County,TL,E,SS,N,R3,D2,,,,,,,,,,1
6362,2019/03/04,Gunnison,>TL,SW,HS,N,R4,D3,,,,,,,,,,1
6363,2019/03/04,Gunnison,>TL,SE,HS,N,R4,D3,,,,,,,,,,1
6364,2019/03/04,Gunnison,>TL,SE,HS,N,R5,D4,,,,,,,,,,1
6365,2019/03/04,Gunnison,TL,E,HS,N,R3,D2.5,,,,,,,,,,1
6366,2019/03/04,Gunnison,TL,NE,HS,N,R4,D3,,,,,,,,,,1
6367,2019/03/04,Gunnison,>TL,NE,HS,N,R4,D3.5,,,,,,,,,,1
6370,2019/03/04,Aspen,>TL,NE,HS,N,R3,D2.5,,,,,,,,,,1
6371,2019/03/04,Southern San Juan,<TL,W,HS,N,R3,D2.5,,,,,,,,,,1
6378,2019/03/04,Northern San Juan,<TL,N,HS,AE,R3,D2,,,,,,,,,,1
6381,2019/03/04,Gunnison,>TL,S,SS,N,R3,D3,,,,,,,,,,1
6383,2019/03/04,Gunnison,>TL,E,SS,N,R3,D3,,,,,,,,,,1
6384,2019/03/04,Gunnison,TL,SW,SS,N,R3,D2.5,,,,,,,,,,1
6385,2019/03/04,Gunnison,TL,W,SS,N,R3,D2.5,,,,,,,,,,1
6387,2019/03/04,Vail & Summit County,TL,W,SS,N,R3,D2.5,,,,,,,,,,1
6388,2019/03/04,Vail & Summit County,TL,W,SS,N,R3,D2,,,,,,,,,,1
6389,2019/03/04,Vail & Summit County,>TL,W,HS,N,R3,D2.5,,,,,,,,,,1
6390,2019/03/04,Vail & Summit County,>TL,NW,HS,N,R3,D2,,1200.0,ft,O,,,,,,1
6391,2019/03/04,Vail & Summit County,TL,E,,N,R3,D2.5,,,,O,,,1000.0,,ft,1
6394,2019/03/04,Vail & Summit County,>TL,NE,SS,N,R4,D3,,,,,,,,,,1
6396,2019/03/03,Vail & Summit County,TL,NW,SS,N,R3,D3,,11800.0,ft,O,,,,,,1
6412,2019/03/03,Gunnison,>TL,E,HS,N,R4,D4,,12500.0,ft,O,,,1800.0,2000.0,ft,1
6414,2019/03/03,Aspen,>TL,SE,HS,N,R3,D3,,,,,,,,,,1
6420,2019/03/03,Vail & Summit County,>TL,SE,,N,R3,D3,,,,O,,,,,,1
6425,2019/03/03,Front Range,>TL,E,HS,N,R3,D2.5,,,,,,,,,,1
6427,2019/03/03,Vail & Summit County,>TL,SE,SS,N,R3,D2.5,,,,,,,,,,1
6428,2019/03/03,Vail & Summit County,>TL,E,SS,N,R3,D2.5,,,,,,,,,,1
6435,2019/03/03,Northern San Juan,<TL,E,WS,N,R4,D2,,,,G,,Faceted Crystals,,,,1
6464,2019/02/28,Northern San Juan,<TL,E,WL,N,R3,D1.5,,,,,,,,,,1
6474,2019/02/27,Vail & Summit County,<TL,W,SS,AE,R3,D1.5,35.0,9123.0,ft,G,Layer,Depth Hoar,150.0,250.0,ft,1
6480,2019/02/26,Southern San Juan,<TL,N,HS,AL,R3,D2,,,,G,,,,,,1
6495,2019/02/25,Northern San Juan,TL,NE,HS,N,R3,D2,,,,,,,,,,1
6496,2019/02/25,Northern San Juan,TL,N,HS,N,R3,D2,,,,G,,,,,,1
6497,2019/02/25,Northern San Juan,>TL,N,HS,N,R3,D2,,,,,,,,,,1
6498,2019/02/25,Northern San Juan,TL,NW,SS,N,R3,D1.5,,,,,,,,,,1
6525,2019/02/24,Southern San Juan,>TL,E,SS,N,R4,D2.5,,,,S,,,,,,1
6537,2019/02/23,Gunnison,>TL,E,HS,N,R3,D2.5,,,,,,,,,,1
6546,2019/02/23,Gunnison,TL,NW,SS,N,R3,D2.5,,,,O,Layer,Faceted Crystals,,,,1
6548,2019/02/23,Aspen,>TL,N,HS,N,R3,D3,,13000.0,ft,O,Unknown,Unknown,500.0,,ft,1
6551,2019/02/23,Northern San Juan,<TL,E,SS,N,R3,D2,,,,,,,200.0,,ft,1
6552,2019/02/23,Northern San Juan,>TL,N,SS,N,R3,D2,,,,,,,800.0,,ft,1
6570,2019/02/22,Southern San Juan,<TL,E,SS,AL,R4,D1.5,,,,,,,,,,1
6572,2019/02/22,Southern San Juan,TL,E,SS,AA,R3,D2,,,,,,,,,,1
6573,2019/02/22,Southern San Juan,TL,E,SS,AA,R4,D2.5,,,,,,,,,,1
6574,2019/02/22,Southern San Juan,TL,E,SS,AA,R3,D2,,,,,,,,,,1
6577,2019/02/22,Southern San Juan,<TL,S,SS,N,R3,D2,,,,,,,,,,1
6578,2019/02/22,Southern San Juan,TL,S,SS,N,R3,D2.5,,,,,,,,,,1
6579,2019/02/22,Southern San Juan,TL,E,SS,N,R4,D2.5,,,,,,,,,,1
6580,2019/02/22,Southern San Juan,>TL,E,HS,N,R4,D2.5,,,,G,,,,,,1
6582,2019/02/22,Northern San Juan,>TL,N,SS,N,R3,D2,,,,,,,,,,1
6584,2019/02/22,Southern San Juan,<TL,SE,SS,N,R3,D2,,,,,,,,,,1
6585,2019/02/22,Southern San Juan,>TL,NE,SS,N,R4,D2.5,,,,,,,,,,1
6586,2019/02/22,Southern San Juan,>TL,SE,SS,N,R4,D2.5,,,,,,,,,,1
6588,2019/02/22,Southern San Juan,TL,SE,SS,N,R4,D2.5,,,,,,,,,,1
6593,2019/02/22,Southern San Juan,<TL,SE,SS,N,R3,D2,,,,,,,,,,1
6594,2019/02/22,Southern San Juan,<TL,S,SS,N,R3,D1.5,,,,,,,,,,1
6595,2019/02/22,Southern San Juan,<TL,NW,SS,N,R3,D2,,,,,,,,,,1
6596,2019/02/22,Southern San Juan,<TL,NW,SS,N,R3,D1.5,,,,,,,,,,1
6597,2019/02/22,Southern San Juan,<TL,W,SS,N,R3,D2,,,,,,,,,,1
6611,2019/02/18,Gunnison,TL,NW,SS,AE,R3,D2,,,,,,,,,,1
6622,2019/02/17,Aspen,<TL,E,SS,N,R3,D3,35.0,11000.0,ft,,,,1200.0,,ft,1
6627,2019/02/17,Aspen,>TL,NE,HS,N,R3,D2,,12400.0,ft,,,,1000.0,,ft,1
6630,2019/02/16,Aspen,<TL,NW,SS,N,R4,D2.5,,10600.0,ft,,,,,,,1
6631,2019/02/16,Aspen,>TL,NW,HS,N,R3,D2.5,,,,,,,,,,1
6635,2019/02/16,Gunnison,TL,NE,SS,U,R3,D2.5,,,,,,,,,,1
6641,2019/02/16,Gunnison,<TL,E,SS,N,R3,D1.5,,,,,,,,,,1
6642,2019/02/16,Gunnison,<TL,N,SS,N,R3,D1.5,,,,,,,,,,1
6643,2019/02/16,Gunnison,TL,E,SS,N,R3,D2.5,,,,,,,,,,1
6659,2019/02/15,Vail & Summit County,<TL,E,SS,AE,R3,D2,,,,,,,,,,1
6660,2019/02/15,Vail & Summit County,<TL,E,SS,AE,R3,D2,,,,,,,,,,1
6661,2019/02/15,Vail & Summit County,<TL,E,SS,AE,R3,D2,,,,,,,,,,1
6662,2019/02/15,Vail & Summit County,<TL,E,SS,AE,R3,D2,,,,,,,,,,1
6693,2019/02/15,Northern San Juan,>TL,NW,HS,N,R3,D2,,,,,,,,,,1
6694,2019/02/15,Northern San Juan,<TL,E,SS,N,R3,D2,,,,,,,,,,1
6696,2019/02/15,Northern San Juan,<TL,E,SS,N,R3,D2.5,,,,,,,,,,1
6701,2019/02/15,Northern San Juan,TL,NW,HS,N,R3,D2,,,,G,Layer,Depth Hoar,,,,1
6702,2019/02/15,Northern San Juan,TL,NW,SS,N,R3,D2,,,,G,,,,,,1
6703,2019/02/15,Northern San Juan,>TL,W,SS,N,R3,D2,,,,,,,,300.0,ft,1
6704,2019/02/15,Northern San Juan,TL,N,SS,N,R3,D2,,,,,,,,,,1
6705,2019/02/15,Northern San Juan,>TL,NE,SS,N,R3,D2,,,,,,,,400.0,ft,1
6706,2019/02/15,Northern San Juan,TL,NE,SS,N,R3,D2,,,,G,,,,,,1
6725,2019/02/15,Northern San Juan,TL,NE,SS,AA,R3,D2,,,,,,,,,,1
6726,2019/02/15,Northern San Juan,<TL,NW,SS,AA,R3,D2,,,,,,,,,,1
6730,2019/02/15,Northern San Juan,<TL,SE,SS,AL,R3,D2,,,,,,,,,,1
6735,2019/02/15,Northern San Juan,<TL,W,SS,N,R3,D2,,,,,,,,150.0,ft,1
6737,2019/02/15,Northern San Juan,TL,NE,SS,N,R3,D2,,,,,,,,,,1
6741,2019/02/15,Southern San Juan,<TL,N,SS,N,R3,D1.5,,,,,,,,,,1
6747,2019/02/14,Northern San Juan,<TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
6784,2019/02/10,Aspen,>TL,NE,HS,N,R3,D2.5,,12600.0,ft,G,,Depth Hoar,,,,1
6788,2019/02/09,Northern San Juan,>TL,W,HS,AE,R3,D3,,,,O,,,,,,1
6792,2019/02/09,Aspen,>TL,N,HS,N,R3,D3,,,,O,,,,,,1
6810,2019/02/08,Gunnison,>TL,NE,SS,N,R3,D3,,,,O,,,,,,1
6814,2019/02/08,Gunnison,<TL,E,SS,N,R3,D3,,11200.0,ft,O,,,,,,1
6822,2019/02/08,Aspen,>TL,E,SS,N,R3,D2,,12400.0,ft,I,Interface,,,800.0,ft,1
6825,2019/02/08,Aspen,>TL,NE,HS,N,R3,D2.5,,,,,,,,,,1
6841,2019/02/07,Gunnison,<TL,W,SS,N,R3,D2,,,,,,,,,,1
6842,2019/02/07,Northern San Juan,>TL,N,,,R4,D3,,,,,,,1000.0,,ft,1
6848,2019/02/07,Northern San Juan,>TL,SE,SS,AA,R3,D3,,,,,,,400.0,,ft,1
6849,2019/02/07,Northern San Juan,>TL,SE,SS,AA,R3,D3,,,,,,,150.0,,ft,1
6850,2019/02/07,Northern San Juan,>TL,SE,SS,AA,R3,D2.5,,,,,,,250.0,400.0,ft,1
6866,2019/02/07,Northern San Juan,<TL,E,SS,AL,R3,D2,,,,,,,,,,1
6871,2019/02/06,Southern San Juan,TL,E,SS,N,R4,D2,33.0,11300.0,ft,O,,,,,,1
6879,2019/02/06,Southern San Juan,TL,NW,SS,N,R4,D2,,,,O,,,,,,1
6881,2019/02/06,Southern San Juan,TL,N,SS,N,R3,D2,,,,O,,,,,,1
6884,2019/02/06,Gunnison,>TL,SE,SS,N,R3,D3,,,,O,,,,,,1
6887,2019/02/06,Gunnison,<TL,W,SS,N,R3,D2.5,,,,O,,,,,,1
6890,2019/02/06,Gunnison,TL,E,SS,N,R3,D2,,,,I,,,,,,1
6901,2019/02/06,Southern San Juan,TL,NE,SS,N,R3,D2,,,,,,,,,,1
6905,2019/02/06,Southern San Juan,>TL,NE,SS,N,R3,D2,,,,I,,,,,,1
6909,2019/02/06,Southern San Juan,TL,SE,SS,N,R3,D2,,,,,,,,,,1
6910,2019/02/06,Northern San Juan,>TL,NE,,N,R3,D3,,,,,,,,,,1
6925,2019/02/05,Vail & Summit County,>TL,E,U,U,R3,D2,,12600.0,ft,,,,500.0,,ft,1
6929,2019/02/05,Southern San Juan,<TL,N,SS,AV,R3,D1,,,,,,,,,,1
6930,2019/02/04,Southern San Juan,TL,E,SS,AC,R3,D2,,,,O,Interface,Near Surface Facets,,,,1
6940,2019/02/02,Aspen,>TL,N,HS,N,R3,D2.5,,12400.0,ft,,,,,,,1
6944,2019/01/31,Vail & Summit County,>TL,E,HS,AE,R4,D3,,,,,,,,,,1
6950,2019/01/30,Vail & Summit County,>TL,S,HS,U,R3,D2,,,,,,,,,,1
6953,2019/01/30,Vail & Summit County,>TL,E,HS,N,R3,D2,,,,,,,,,,1
6956,2019/01/29,Vail & Summit County,TL,SE,HS,AE,R3,D1.5,,,,,,,,,,1
6957,2019/01/29,Vail & Summit County,>TL,SE,HS,AE,R3,D2.5,,,,,,,,,,1
6958,2019/01/29,Vail & Summit County,>TL,SE,HS,AE,R3,D2,,,,,,,,,,1
6962,2019/01/29,Vail & Summit County,TL,SE,SS,N,R3,D2,,,,,,,,,,1
6965,2019/01/29,Vail & Summit County,TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
6966,2019/01/29,Vail & Summit County,>TL,E,HS,N,R3,D2.5,,,,,,,,,,1
6977,2019/01/28,Vail & Summit County,>TL,W,HS,U,R3,D1.5,,,,,,,,,,1
6980,2019/01/27,Aspen,>TL,N,SS,N,R3,D2.5,35.0,12000.0,ft,I,,,300.0,,ft,1
7005,2019/01/25,Front Range,>TL,N,HS,AE,R3,D2,,,,O,,,,,,1
7010,2019/01/25,Front Range,>TL,SE,HS,AA,R3,D2,,,,I,,,,,,1
7012,2019/01/25,Front Range,>TL,SE,HS,AX,R3,D2.5,,,,O,,,,,,1
7013,2019/01/25,Front Range,>TL,SE,HS,AX,R3,D2,,,,I,,,,,,1
7018,2019/01/25,Northern San Juan,TL,SW,,AS,R3,D2.5,,12100.0,ft,O,,,800.0,,ft,1
7020,2019/01/25,Vail & Summit County,>TL,E,HS,AE,R3,D3,,,,,,,,,,1
7022,2019/01/25,Gunnison,TL,NE,SS,N,R3,D2.5,,10900.0,ft,,,,800.0,1000.0,m,1
7040,2019/01/24,Gunnison,>TL,SW,SS,N,R3,D2.5,,12600.0,ft,,,,1800.0,,m,1
7054,2019/01/23,Gunnison,>TL,W,SS,N,R3,D3,,,,,,,,,,1
7055,2019/01/23,Gunnison,>TL,SW,SS,N,R3,D3,,,,,,,,,,1
7066,2019/01/22,Gunnison,>TL,E,SS,N,R4,D3,35.0,12500.0,ft,O,Unknown,Faceted Crystals,,1420.0,m,1
7067,2019/01/22,Gunnison,>TL,NE,SS,N,R3,D2.5,,,,,,,,,,1
7069,2019/01/22,Gunnison,TL,NW,SS,N,R3,D2.5,,,,,,,,,,1
7073,2019/01/21,Aspen,>TL,E,HS,N,R3,D2,,,,,,,,,,1
